District,Year,Mean_Scale_Score_e,Mean_Scale_Score_m,Total Enrollment,% Asian,% Black,% Hispanic,% Multi-Racial,% Native American,%_White,% Missing Race/Ethnicity Data,% SWD,% ELL,% Poverty,ENI,p_tested_e,p_tested_m,% POC
16,2018,595.4691162,591.8963013,6839,0.021640591323375702,0.7410439848899841,0.19301067292690277,0.005117707420140505,0.010089194402098656,0.026027197018265724,0.0030706243123859167,0.26334258913993835,0.048106446862220764,0.8599210381507874,0.8647645711898804,0.3880684310571721,0.38075742067553736,0.9739728029817343
16,2019,594.2764282,593.2200317,6745,0.021645663306117058,0.7306152582168579,0.19540400803089142,0.007857671938836575,0.011267605237662792,0.030837656930088997,0.002372127491980791,0.25396591424942017,0.04610822722315788,0.838398814201355,0.8455366492271423,0.38028169014084506,0.37197924388435877,0.969162343069911
16,2022,596.1651001,588.8635864,5970,0.0224455613642931,0.69112229347229,0.2241206020116806,0.012060301378369331,0.01005025114864111,0.0380234494805336,0.002177554415538907,0.232998326420784,0.05912897735834122,0.8061976432800293,0.8143100142478943,0.3328308207705193,0.3254606365159129,0.9619765505194664
17,2018,598.5892334,595.2045898,22534,0.029555339366197586,0.7491790056228638,0.15647466480731964,0.006168456748127937,0.013490725308656693,0.040694061666727066,0.004437738563865423,0.18416614830493927,0.10983403027057648,0.8269726037979126,0.7788825631141663,0.3762758498269282,0.3707286766663708,0.9593059383332729
17,2019,597.9715576,596.6963501,21984,0.029930857941508293,0.7434042692184448,0.15975254774093628,0.007596433628350496,0.013145924545824528,0.04157569259405136,0.0045942505821585655,0.18613536655902863,0.10357532650232315,0.800582230091095,0.7693116664886475,0.3852802037845706,0.37463609898107714,0.9584243074059486
17,2022,599.9217529,591.4335327,20128,0.0300576314330101,0.7095091342926025,0.17234697937965393,0.011724960058927536,0.01291732955724001,0.05763116106390953,0.005812798161059618,0.18491654098033905,0.0961347371339798,0.7671899795532227,0.7378323674201965,0.320647853736089,0.30941971383147854,0.9423688389360905
18,2018,597.5785522,594.2198486,15707,0.01725345477461815,0.8535048365592957,0.07487107813358307,0.005093270447105169,0.013242503628134727,0.033806584775447845,0.002228305907920003,0.1960272490978241,0.07047813385725021,0.7892659306526184,0.720975935459137,0.41662952823581845,0.4222321258037818,0.9661934152245522
18,2019,597.039917,595.1900635,15006,0.019059043377637863,0.84452885389328,0.078835129737854,0.005197920836508274,0.011928562074899673,0.037651605904102325,0.002798880450427532,0.20051978528499603,0.07437025010585785,0.7745568156242371,0.719660758972168,0.42083166733306676,0.41650006664001066,0.9623483940958977
18,2022,599.4296875,593.1809082,12068,0.02361617423593998,0.8176997303962708,0.09181305766105652,0.008534968830645084,0.008949287235736847,0.04333775117993355,0.006049055140465498,0.19489559531211853,0.07151143252849579,0.7358303070068359,0.6876451373100281,0.3858965860125953,0.37189260855154127,0.9566622488200665
19,2018,593.0063477,590.595459,22742,0.07914870977401733,0.440242737531662,0.44019874930381775,0.0030780055094510317,0.01534605585038662,0.019787177443504333,0.002198575297370553,0.21356961131095886,0.13310174643993378,0.8876967430114746,0.8717235326766968,0.4514114853574884,0.4545774338228828,0.9802128225564957
19,2019,592.1085205,591.5313721,22174,0.0792369470000267,0.4279787242412567,0.4503021538257599,0.003652926767244935,0.014972490258514881,0.021195994690060616,0.002660773927345872,0.2168756127357483,0.1369171142578125,0.8835121989250183,0.867013156414032,0.45458645260214664,0.4603138811220348,0.9788040053099394
19,2022,594.0318604,588.0170898,19959,0.08612655848264694,0.40638309717178345,0.46104514598846436,0.005711709149181843,0.015682147815823555,0.02054211124777794,0.004509244114160538,0.20446915924549103,0.13758204877376556,0.8491407632827759,0.8442041277885437,0.3918031965529335,0.38924795831454484,0.9794578887522221
20,2018,605.9924316,608.9967041,54156,0.4350949227809906,0.028362508863210678,0.2613006830215454,0.005096388049423695,0.0031390797812491655,0.26407045125961304,0.002935962751507759,0.15399955213069916,0.23524633049964905,0.7806891202926636,0.7656492590904236,0.4326575079400251,0.4368860329418716,0.735929548740387
20,2019,605.6812744,609.8657837,53980,0.43649500608444214,0.025713227689266205,0.26504260301589966,0.005872545298188925,0.0032048907596617937,0.26055946946144104,0.0031122637446969748,0.1601889580488205,0.22061875462532043,0.7714523673057556,0.7605425119400024,0.4309559095961467,0.4359392367543535,0.739440530538559
20,2022,608.2940674,605.9553223,50411,0.434548020362854,0.02328856848180294,0.2744440734386444,0.007815754041075706,0.0038483664393424988,0.25181013345718384,0.0042451051995158195,0.16361507773399353,0.2178889513015747,0.7323600053787231,0.7218589782714844,0.41342167384102674,0.3993771200729999,0.7481898665428162
21,2018,605.7483521,606.3648071,37423,0.25425541400909424,0.1440557986497879,0.24770863354206085,0.0054244715720415115,0.0054244715720415115,0.3349544405937195,0.008176789619028568,0.18234775960445404,0.16973519325256348,0.7479357719421387,0.7352752685546875,0.3932875504368971,0.39518477941372954,0.6650455594062805
21,2019,605.1438599,607.5197144,37136,0.2555202543735504,0.13717147707939148,0.24765725433826447,0.0064088753424584866,0.005816458258777857,0.3393741846084595,0.008051486685872078,0.1872037947177887,0.17379362881183624,0.728726863861084,0.7317050099372864,0.4083907798362775,0.4152843601895735,0.6606258153915405
21,2022,606.1033936,602.5447998,36618,0.2555573880672455,0.12182532995939255,0.25583046674728394,0.00958544947206974,0.007537276949733496,0.34155333042144775,0.008110765367746353,0.18105849623680115,0.17909224331378937,0.6938937306404114,0.7081068754196167,0.36659566333497184,0.34873559451635805,0.6584466695785522
22,2018,602.5270386,601.0455933,35692,0.20091336965560913,0.30401769280433655,0.15460047125816345,0.009553961455821991,0.007088423240929842,0.3198195695877075,0.004006499890238047,0.16897344589233398,0.11871007829904556,0.7184243202209473,0.6487942934036255,0.40036983077440325,0.40241510702678474,0.6801804304122925
22,2019,601.5470581,601.8538208,35570,0.20764689147472382,0.28940117359161377,0.1541186422109604,0.01149845402687788,0.00787180196493864,0.3248243033885956,0.004638740327209234,0.1706494241952896,0.11613719165325165,0.7034017443656921,0.6436364650726318,0.40480742198481867,0.4076750070283947,0.6751756966114044
22,2022,602.1716919,597.5333862,32524,0.22650966048240662,0.2557496130466461,0.15210306644439697,0.014512360095977783,0.00937769003212452,0.3342147469520569,0.007532898802310228,0.1741483211517334,0.12184847891330719,0.6647706031799316,0.6146559119224548,0.36173287418521705,0.3529701143770754,0.6657852530479431
23,2018,591.7357178,589.3835449,9539,0.011321941390633583,0.7454659938812256,0.2130202353000641,0.00450780987739563,0.010273613967001438,0.013523430563509464,0.0018869902705773711,0.25673550367355347,0.046860259026288986,0.9103679656982422,0.8930495977401733,0.4835936680993815,0.47227172659607924,0.9864765694364905
23,2019,590.3729248,589.7265015,9290,0.013132400810718536,0.7426264882087708,0.2118406891822815,0.005382131319493055,0.011733046732842922,0.013562970794737339,0.0017222820315510035,0.2547900974750519,0.047793325036764145,0.8982776999473572,0.8845226168632507,0.4736275565123789,0.45694294940796554,0.9864370292052627
23,2022,593.0030518,585.3023071,7863,0.012972148135304451,0.7152486443519592,0.23744118213653564,0.007503497414290905,0.010047055780887604,0.014116749167442322,0.0026707362849265337,0.23044639825820923,0.05366908386349678,0.8859214186668396,0.8817363977432251,0.41968714231209464,0.3992114968841409,0.9858832508325577
24,2018,601.4854126,600.2774658,60732,0.20177172124385834,0.025917144492268562,0.6223572492599487,0.003852993482723832,0.005170256365090609,0.13658368587493896,0.004346967209130526,0.16786867380142212,0.21772706508636475,0.7835407853126526,0.7325752973556519,0.4437034841599157,0.4336099585062241,0.863416314125061
24,2019,600.1210938,600.8061523,59578,0.19846251606941223,0.02541206404566765,0.6279667019844055,0.004212964326143265,0.005455033853650093,0.13370707631111145,0.0047836448065936565,0.17148947715759277,0.21476048231124878,0.761975884437561,0.7249976396560669,0.4464399610594515,0.4288327906274128,0.8662929236888885
